index,Text,Type,pred
102532,Malo Pésimo servicio y atención. El lugar es muy bonito pero la atención y servicio es pésimo. Se privilegia al turismo extranjero y al turismo nacional se le discrimina. Lástima de lugar,Attractive,Restaurant
118046,"mejor marisco en cualquier lugar! He probado varios lugares en la playa. Pero este es mi favorito con diferencia. mariscos cocinados a la orden. fresco todos los días, vi que traigan! Amplia variedad para elegir y fría, fría cerveza! descansar y relajarse, puede pasar un par de horas aquí para...comer, beber y ver pasar a la gente.Más",Restaurant,Attractive
153036,"La horchata más cara que me he tomado. Contratamos un tour con alimentación y ya entendimos x q no incluyen bebidas. PEdimos  dos aguas de horchata y las cobraron a 50 pesos cada una, mucho más que una cerveza que valía 30 pesos. Al final nos sentimos en un tipico ""trampa turistas"" ,...Más",Restaurant,Attractive
194031,"Muy buena la atención muy cordiales La atención en el guru excelente,todo el personal siempre a disposición 100%.
Excelente la atención de la encargada Camila que se tomó el tiempo de mostrarnos todas las instalaciones del hotel y el bar,la verdad los recomiendo!!!!!Más",Restaurant,Hotel
118814,"Muy buena opción en Tulum Excelente servicio, la mayoría de las personas que trabajan ahí tienen mucha atención, sobre todo no hay preferencias entre extranjeros y locales. No hay mucha variedad de alimentos en el desayuno, snacks y menú de room service, sin embargo toda la comida está muy rica. ",Hotel,Restaurant
85687,Desayuno en el jardín de flores  Un lugar muy bello para pasar un fin de semana en familia o con la pareja. El bufete es regular en sabor y variedad para el precio.,Restaurant,Hotel
78945,"Tulum Mia paraíso Quiero dar mi más sincera enhorabuena, tanto a Jesús Gibaja y su equipo, como al hotel en donde encuentras este maravilloso restaurante. 
Pero quiero volver a hablar de Mia la vanguardista y de origen sencillo cocina de Jesús Gibaja; soy cocinero también en España ,...Más",Restaurant,Hotel
77468,"Una maravilla Sus paquetes son una maravilla. Me encantó no tener que preocuparme por nada, me resolvieron hospedaje, las 3 comidas y el apapacho en el spa.Todos súper amables, atentos y profesionales.Sarahí tiene mi reconocimiento especial porque siempre fue paciente y amable con mis solicitudes. El spa limpio y agradable.Las comidas deliciosas.La gente de Ixtapan una belleza, me enamoré de ese lugar.Volvería mil veces.",Attractive,Hotel
42088,"Un buen lugar si te gusta la comodidad Se come rico, el trato muy bueno, para la zona es de los lugares caros pero vale la pena, ahora estan en trabajos de remodelacion y calculo que van a durar un poco porque hasta la alberca la tienen vacia. Fuimos en pareja y mi...Más",Restaurant,Hotel
92012,Todoterreno en Todos Santos Fantástico. El vehículo y la ruta fueron geniales. Atención al cliente 10 sobre 10. La navegación fue muy fácil. Adecuado para principiantes.,Attractive,Restaurant
163385,"Me encanta este lugar Cuando llegamos a la zona de Tulum, siempre alquilamos una casa en la tranquila bahía Tankah, y este restaurante es nuestro lugar ir. Todo el mundo allí es muy amable, y la ubicación no puede ser mejor - una enorme palapa justo en un lugar tranquilo, una hermosa playa con vista al mar. Siempre jugar buena música (Blues/rock americano) y la comida es estupenda. La sopa de mariscos es algo para volver, y el los pinchos tradicionales los camarones eran los mejores que he probado. También tienen buena carne usda, que puede ser difícil de encontrar en México. Pequeño gran lugar siempre volveremos a.El cenote detrás del restaurante es increíblemente precioso y nadar. Siempre hay practicantes y buceadores desde alrededor de la zona.",Attractive,Restaurant
186068,"La playa bonita, el servicio pésimo  Nos dijeron que había un mínimo de consumisión de 1.500 pesos, además de pagar por la sombrilla con dos camas y dos tumbonas más. Eramos cuatro. Nos costó gastar los 1.500 porque no venían a atendernos. Había que ir a buscar a los meseros. No me quisieron cambiar una cerveza que no estaba del todo fría (muy rigurosos con la cerveza), pero nos pusieron el peor mojito que he probado en mi vida. La comida normal. No recomendaría ir, hay mejores playas y por supuesto atención.",Attractive,Restaurant
97367,"Ubicación privilegiada y excelente atención.  Excelente atención por parte de Yaqueline, Esmeralda y Lizeth! Ubicación privilegiada! La comida de 10 y spa muy completo. Definitivamente volveremos en nuestra próxima visita a Valle de Bravo. Muchas gracias a todos por sus atenciones.",Hotel,Restaurant
184967,"revuelo Maya Tenía el revuelo Maya con jengibre limonada para beber. Gran sabor y la limonada fue refrescante. El Gran ambiente, el personal es muy atento. Vale la pena la caminata de la zona turística. Viaje en taxi de $5 de marina para 2 personas.",Restaurant,Attractive
126970,"Excelente desayuno Cerca de nuestro hotel desayunamos aquí tres mañanas. Buena selección de artículos para el desayuno, todos muy bien preparados. Me encanta la colección de fotos históricas. Buena opción para el desayuno en el centro.",Restaurant,Hotel
82420,"Indescriptible. No habrà nunca suficientes adjetivos, en ningùn idioma o dialecto, para describir un sitio como Akalki y su entorno.  Por dònde empezar, por la laguna de mil colores de màs de 50 kms que tienes a tus pies? Por las cabañas impecables sobre el agua? Por su concepto ecológico y sustentable?  Y la lista es interminable.  Con un equipo muy bien preparado, informado, atento y dedicado a consentir a sus invitados, siempre es un placer comenzar y terminar un dìa lleno de aventuras por la Laguna de Bacalar o sus alrededores con deliciosos desayunos y cenas preparadas al momento, con ingredientes frescos y una exquisita sazòn, desde el cafè hasta los platos màs complejos.  No dejen de probar los panes de fruta hechos cada mañana por las habilìsimas cocineras de su restaurante.  Como les",Hotel,Restaurant
160127,Comida mexicana deliciosa Es un restaurante delicioso muy variado y en pleno centro de Valladolid es muy rica la comida luego puedes ir al cenote y a dar una vuelta por el parque  Es muy rica su selección de platos y es muy lindo el lugar es amplio y también es hotel de paso muy recomendado,Hotel,Restaurant
141129,"Lugar con encanto colonial y buena comida  Recomiendo el Hostal del marques tanto para estancia como para venir a comer, aunque en la plaza hay otro hotel más barato donde se come también bien. Nos hemos quedado 3 noches y lo hemos disfrutado, gracias",Restaurant,Hotel
45466,"Hermosa playa Comida deliciosa, muy buena, margaritas y un montón de asientos fuertes diferentes. Un ambiente muy relajado. Todo excelente, pero por desgracia el día que fuimos a principios de esta semana, el mar estaba lleno de algas, esta fue la primera de las malezas que habíamos...visto en México este año (aunque el año pasado fue generalizada). Era lo suficientemente malo para que mar desagradable y se depositó en la fabulosa playa. También nos pareció un poco caro en comparación a otro bar en la playa que había probado.Más",Restaurant,Attractive
114699,Excelente para compartir en familia Un lugar bello para después de descender saborear las ricas tostadas del mercado que ricas y para cerrar con broche de oro una deliciosa nieve,Attractive,Restaurant
135155,"Espectacular lugar y servicio. Excelente servicio, ubicación, comida, las camas deliciosas. Tulum siemrpe es garantía, pero en vdd este lugar tiene magia, lo recomiendo muchísimo, el personal muy amable en todo momento la mejor disposición",Hotel,Restaurant
